Id,Designator,Package,Quantity,Designation
1,D2,LED-0603_NEW,1,Blue
2,D3,LED-0603_NEW,1,LED
3,C1,C_1206,1,100uF
4,C2,C_0603,1,100nF
5,C3,C_0603,1,1uF
6,"C4,C5",C_0603,2,15pF
7,C6,C_0603,1,2.2uF
8,"C8,C7",C_0603,2,0.1uF
9,CON1,USB_Micro-B_SMD_NEW_1,1,USB-MINI-B
10,"D5,D6,D9,D10",LED-5MM,4,LED
11,M1,ESP-32S,1,ESP-WROOM-32
12,P2,Pin_Header_Straight_1x03_Pitch2.54mm,1,CONN_01X03
13,"R2,R10",R_0603,2,10K
14,"R6,R9",R_0603,2,1K
15,"R7,R8,R3,R4,R5,R11",R_0603,6,0E
16,"R13,R23",R_0603,2,0R
17,R18,R_0603,1,680R
18,"R19,R20",R_0603,2,12K
19,"R21,R22",R_0603,2,47R
20,"SW1,SW2",smd_push2_New,2,SW_PUSH
21,U1,SOT-23-5,1,AP2112K
25,Y1,SMD_RTC_Crstl,1,32.768KHz RTC Crystal
26,Q2,SOT-23,1,Q_NPN_BEC
27,"Q3,Q4",SOT-23,2,S8050
28,"P1,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15",EE_Pin_Header_Straight_1x14_Pitch2.54mm,14,CONN_01X14
29,F1,Fuse_500mA,1,500mA
30,U9,cp2102_xl2,1,CP2102
